hotel_name,city,description_first,price_euros_first,rating,num_reviews,quality_over_5,quality_type,description_second,price_euros_second,description,description_no_stopwords,description_stem
BCN Condal Hostal,Barcelona,"Double or Twin Room with Shared Bathroom
Beds: 1 double or 2 twins
Only 1 room left at this price on our site",653.0,6.6,811.0,2.0,stars,"Double or Twin Room with Shared Bathroom
Beds: 1 double or 2 twins
Only 1 room left at this price on our site",1013.0,"Located just a 2-minute walk from Gaudi’s iconic Sagrada Familia basilica, BCN Condal hostal is located in Barcelona’s Eixample district. It offers free Wi-Fi, free coffee and hot drinks, and is 300 metres from Sagrada Familia Metro Station.

BCN Condal hostal offers simple and comfortable accommodation. Each room has central heating, and is equipped with a TV, wardrobe and desk. The rooms all have a shower and sink and some have a private bathroom.

The property offers free free tourist information, maps and discounts.

The guest house is situated in a quiet area, ideal if you want to be out of the city centre, but have the city’s famous landmarks within easy reach.

The spectacular Hospital Sant Pau is just an 5-minute walk away, while the city centre can be reached by metro in 5 minutes from Sagrada Familia station.",2minute gaudis iconic sagrada familia basilica bcn condal hostal barcelonas eixample district offers free free coffee hot drinks 300 sagrada familia metro station bcn condal hostal offers simple comfortable central heating equipped wardrobe rooms shower sink property offers free free tourist information maps discounts quiet area ideal want city centre citys famous landmarks within easy reach spectacular hospital sant pau 5minute city centre reached metro 5 sagrada familia station,2minut gaudi icon sagrada familia basilica bcn condal hostal barcelona eixampl district offer free free coffe hot drink 300 sagrada familia metro station bcn condal hostal offer simpl comfort central heat equip wardrob room shower sink properti offer free free tourist inform map discount quiet area ideal want citi centr citi famou landmark within easi reach spectacular hospit sant pau 5minut citi centr reach metro 5 sagrada familia station
BCN Town Apartments Portaferrissa,Barcelona,"Apartment with Terrace
Entire apartment • 1 bedroom • 2 living rooms • 1 bathroom • 1 kitchen • 40m²
2 beds (1 full, 1 sofa bed)
Only 1 left at this price on our site",2042.0,9.0,115.0,4.0,squares,"Apartment with Terrace
Entire apartment • 1 bedroom • 2 living rooms • 1 bathroom • 1 kitchen • 40m²
2 beds (1 full, 1 sofa bed)
Only 1 left at this price on our site",3498.0,"Offering free WiFi, BCN Town Apartments Portaferrissa is a self-catering accommodation located in Barcelona, 400 metres from Liceu Metro Station.

These modern, luxury apartments include a seating area with a flat-screen TV and air conditioning. There is a full kitchen with a dishwasher, oven, coffee machine and a microwave, and the private bathrooms also come with a shower and a hairdryer. You can enjoy city view from the rooms.

Located in the Gothic Quarter, guests will find many bars and restaurants within minutes of the apartments. Las Ramblas is a 2-minute walk away.

BCN Town Apartments Portaferrissa are 500 metres from Plaça Catalunya, and a 20-minute metro ride will take you to Gaudi's La Sagrada Familia.",offering free bcn town portaferrissa selfcatering 400 liceu metro station luxury seating area flatscreen air conditioning full kitchen dishwasher oven coffee machine microwave bathrooms also come shower hairdryer enjoy city view rooms gothic quarter guests find many bars restaurants within ramblas 2minute bcn town portaferrissa 500 plaça catalunya 20minute metro ride take gaudis sagrada familia,offer free bcn town portaferrissa selfcat 400 liceu metro station luxuri seat area flatscreen air condit full kitchen dishwash oven coffe machin microwav bathroom also come shower hairdryer enjoy citi view room gothic quarter guest find mani bar restaur within rambla 2minut bcn town portaferrissa 500 plaça catalunya 20minut metro ride take gaudi sagrada familia
BERNABEU/ C.UNIVERSITARIA APARTMENTS,"Madrid, Community of Madrid","Apartment - Ground Floor
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 39m²
4 beds (3 sofa beds, 1 queen)
Free cancellation
Only 1 left at this price on our site",1054.0,7.1,385.0,3.0,squares,"Superior Studio
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 30m²
2 beds (1 full, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site",1166.0,"Set within 3.6 km of Chamartin Railway Station and 4.6 km of Temple of Debod, BERNABEU/ C.UNIVERSITARIA APARTMENTS offers rooms with air conditioning and a private bathroom in Madrid. There is a private entrance at the apartment for the convenience of those who stay. Free WiFi is available throughout the property and Santiago Bernabéu Stadium is 2.2 km away.

Each unit comes with a fully equipped kitchen with a dishwasher, a seating area, a flat-screen TV, a washing machine, and a private bathroom with shower and a hair dryer. A microwave, a fridge and kitchenware are also featured, as well as a coffee machine. At the apartment complex, some units are allergy-free.

Sightseeing tours are available in the neighbourhood.

Plaza de España Metro Station is 4.6 km from the apartment, while Gran Via Metro Station is 4.9 km away. Adolfo Suarez Madrid-Barajas Airport is 15 km from the property.",set within 36 chamartin railway station 46 temple debod bernabeu cuniversitaria offers rooms air conditioning entrance convenience stay free throughout property santiago bernabéu stadium 22 comes fully equipped kitchen dishwasher seating area flatscreen washing machine shower hair dryer microwave fridge kitchenware also featured well coffee machine complex allergyfree sightseeing tours neighbourhood plaza españa metro station 46 gran via metro station 49 adolfo suarez madridbarajas airport 15 property,set within 36 chamartin railway station 46 templ debod bernabeu cuniversitaria offer room air condit entranc conveni stay free throughout properti santiago bernabéu stadium 22 come fulli equip kitchen dishwash seat area flatscreen wash machin shower hair dryer microwav fridg kitchenwar also featur well coffe machin complex allergyfre sightse tour neighbourhood plaza españa metro station 46 gran via metro station 49 adolfo suarez madridbaraja airport 15 properti
BNBHolder Best III Madrid Rio,"Madrid, Community of Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 38m²
1 full bed",886.0,8.9,19.0,3.0,squares,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 38m²
1 full bed",1072.0,"BNBHolder Best III Madrid Rio is located in the Arganzuela district of Madrid, 1.7 km from Plaza de España Metro Station, 1.6 km from Plaza Mayor and 1.2 km from Royal Palace of Madrid. It is set 1.4 km from Puerta de Toledo and offers a lift. Free WiFi is available throughout the property and Mercado San Miguel is 1.3 km away.

The air-conditioned apartment is composed of 1 separate bedroom, a fully equipped kitchen with a dishwasher and an oven, and 1 bathroom. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Puerta del Sol, Temple of Debod and Casa de Campo. The nearest airport is Adolfo Suarez Madrid-Barajas Airport, 15 km from BNBHolder Best III Madrid Rio.",bnbholder best iii rio arganzuela district 17 plaza españa metro station 16 plaza mayor 12 royal palace set 14 puerta toledo offers lift free throughout property mercado san miguel 13 airconditioned composed 1 separate bedroom fully equipped kitchen dishwasher oven 1 towels bed linen featured nonsmoking points interest near puerta sol temple debod casa campo nearest airport adolfo suarez madridbarajas airport 15 bnbholder best iii rio,bnbholder best iii rio arganzuela district 17 plaza españa metro station 16 plaza mayor 12 royal palac set 14 puerta toledo offer lift free throughout properti mercado san miguel 13 aircondit compos 1 separ bedroom fulli equip kitchen dishwash oven 1 towel bed linen featur nonsmok point interest near puerta sol templ debod casa campo nearest airport adolfo suarez madridbaraja airport 15 bnbholder best iii rio
BNBHolder The Sweetest IV Centre,"Madrid, Community of Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 25m²
1 full bed",868.0,8.5,2.0,3.0,squares,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 25m²
1 full bed",1124.0,"In a central area of Madrid, located within a short distance of Plaza Mayor and Mercado San Miguel, BNBHolder The Sweetest IV Centre offers free WiFi, air conditioning and household amenities such as a fridge and coffee machine. It is set less than 1 km from Puerta de Toledo and provides a lift. The property is non-smoking and is situated 800 metres from Puerta del Sol.

The apartment features 1 bedroom, a TV, a fully equipped kitchen with a microwave and a toaster, a washing machine, and 1 bathroom with a shower. Towels and bed linen are provided in the apartment.

Popular points of interest near the apartment include Reina Sofia Museum, Atocha Train Station and Royal Palace of Madrid. Adolfo Suarez Madrid-Barajas Airport is 14 km away.",central area within short plaza mayor mercado san miguel bnbholder sweetest iv centre offers free air conditioning household amenities fridge coffee machine set less 1 puerta toledo provides lift property nonsmoking 800 puerta sol features 1 bedroom fully equipped kitchen microwave toaster washing machine 1 shower towels bed linen provided points interest near reina sofia museum atocha train station royal palace adolfo suarez madridbarajas airport 14,central area within short plaza mayor mercado san miguel bnbholder sweetest iv centr offer free air condit household amen fridg coffe machin set less 1 puerta toledo provid lift properti nonsmok 800 puerta sol featur 1 bedroom fulli equip kitchen microwav toaster wash machin 1 shower towel bed linen provid point interest near reina sofia museum atocha train station royal palac adolfo suarez madridbaraja airport 14
BYPILLOW Crosstown,"Madrid, Community of Madrid","Double Room
1 queen bed
Only 2 rooms left at this price on our site",1208.0,8.7,3490.0,3.0,stars,"Double Room
1 queen bed",1312.0,"A recently renovated guest house situated in the centre of Madrid, BYPILLOW Crosstown is a 3-star accommodation close to Plaza Mayor and Mercado San Miguel. It is located 700 metres from Puerta del Sol and offers private check-in and check-out. The accommodation provides a 24-hour front desk, a lift and organising tours for guests.

All units feature air conditioning and a flat-screen TV. With a private bathroom equipped with a shower and a hair dryer, units at the guest house also offer free WiFi, while selected rooms are fitted with a terrace. At the guest house, all units come with bed linen and towels.

Popular points of interest near the guest house include Puerta de Toledo, Reina Sofia Museum and Atocha Train Station. Adolfo Suarez Madrid-Barajas Airport is 14 km away, and the property offers a paid airport shuttle service.",recently renovated centre bypillow crosstown 3star close plaza mayor mercado san miguel 700 puerta sol offers checkin checkout provides 24hour front lift organising tours guests air conditioning flatscreen equipped shower hair dryer also free selected rooms fitted terrace come bed linen towels points interest near puerta toledo reina sofia museum atocha train station adolfo suarez madridbarajas airport 14 property offers paid airport shuttle,recent renov centr bypillow crosstown 3star close plaza mayor mercado san miguel 700 puerta sol offer checkin checkout provid 24hour front lift organis tour guest air condit flatscreen equip shower hair dryer also free select room fit terrac come bed linen towel point interest near puerta toledo reina sofia museum atocha train station adolfo suarez madridbaraja airport 14 properti offer paid airport shuttl
BYPILLOW Mothern,Barcelona,"Superior Queen Room
1 king bed
Only 7 rooms left at this price on our site",1004.0,8.2,5333.0,3.0,stars,"Budget Double Room
1 full bed",2193.0,"Situated just outside Barcelona’s central Plaza Catalunya Square, BYPILLLOW  Mothern  offers bright, air-conditioned rooms with free Wi-Fi and satellite TV. Buses to Barcelona Airport stop 100 metres away.

BYPILLLOW Mothern is situated next to Passeig de Gracia Boulevard, 600 metres from Gaudi’s famous Casa Batlló and a 5-minute walk from the Ramblas and the Gothic Quarter. Metro and regional train services stop at Catalunya Station, just 50 metres away.

 Set in a restored 19th century building, BYPILLLOW Mothern features simple and modern décor throughout. It has a 24-hour reception with a tour desk and ticket service.

You can work from the comfortable coworking space or terrace, or having a buffet breakfast in the dining room. You can also find a wide range of cafés, tapas bars and restaurants in the surrounding streets.",outside barcelonas central plaza catalunya square bypilllow mothern offers bright airconditioned rooms free satellite buses airport stop 100 bypilllow mothern next passeig gracia boulevard 600 gaudis famous casa batlló 5minute ramblas gothic quarter metro regional train services stop catalunya station 50 set restored 19th century building bypilllow mothern features simple décor throughout 24hour reception tour ticket work comfortable coworking space terrace buffet breakfast dining also find wide range cafés tapas bars restaurants surrounding streets,outsid barcelona central plaza catalunya squar bypilllow mothern offer bright aircondit room free satellit buse airport stop 100 bypilllow mothern next passeig gracia boulevard 600 gaudi famou casa batlló 5minut rambla gothic quarter metro region train servic stop catalunya station 50 set restor 19th centuri build bypilllow mothern featur simpl décor throughout 24hour recept tour ticket work comfort cowork space terrac buffet breakfast dine also find wide rang café tapa bar restaur surround street
BYPILLOW The Citadel,"Madrid, Community of Madrid","Double
1 full bed
Only 1 room left at this price on our site",1060.0,8.5,1480.0,1.0,stars,"Double
1 full bed",1118.0,"Situated in Madrid, 200 metres from Mercado San Miguel, BYPILLOW The Citadel features air-conditioned rooms with free WiFi and a tour desk. The property is located 350 metres from Plaza Mayor, 600 meters from Puerta del Sol and 350 metres from Royal Palace of Madrid. The property is 700 metres from Gran Via and 5 km from Casa de Campo.

At the guest house, rooms are equipped with a wardrobe, a flat-screen TV, a private bathroom, bed linen and towels.

Puerta de Toledo is 1.5 km from BYPILLOW The Citadel, while Temple of Debod is 1.5 km from the property. The nearest airport is Adolfo Suarez Madrid-Barajas, 24 km from the accommodation, and the property offers a paid airport shuttle service.",200 mercado san miguel bypillow citadel features airconditioned rooms free tour property 350 plaza mayor 600 meters puerta sol 350 royal palace property 700 gran via 5 casa campo rooms equipped wardrobe flatscreen bed linen towels puerta toledo 15 bypillow citadel temple debod 15 property nearest airport adolfo suarez madridbarajas 24 property offers paid airport shuttle,200 mercado san miguel bypillow citadel featur aircondit room free tour properti 350 plaza mayor 600 meter puerta sol 350 royal palac properti 700 gran via 5 casa campo room equip wardrob flatscreen bed linen towel puerta toledo 15 bypillow citadel templ debod 15 properti nearest airport adolfo suarez madridbaraja 24 properti offer paid airport shuttl
BYPILLOW Twenty,Barcelona,"Double Room
1 queen bed
Only 4 rooms left at this price on our site",1125.0,8.4,736.0,3.0,stars,"Twin Room
2 twin beds
Only 4 rooms left at this price on our site",2615.0,"This design hotel has an excellent location in a quiet side street only 20 metres from the famous Las Ramblas. Free Wi-Fi is available throughout the hotel. The breakfast combo includes one orange juice, one coffee, one sandwich and one croissant (per person).

The BYPILLOW Twenty is set in the historic centre of Barcelona. It is a short walk from the Boquería Market, the Liceu theatre and the Cathedral.

All rooms at the BYPILLOW Twenty are fully soundproofed and air conditioned. They have flat-screen TV and a free safe.

The hotel rooms and public areas are totally smoke-free. The establishment has a ticket sales service and excursions.

We provide useful information about car or bicycle rental and tour desk.",design excellent location quiet side street 20 famous ramblas free throughout breakfast combo includes one orange juice one coffee one sandwich one croissant per person bypillow twenty set historic centre short boquería market liceu theatre cathedral rooms bypillow twenty fully soundproofed air conditioned flatscreen free safe rooms public areas totally smokefree establishment ticket sales excursions provide useful information car bicycle rental tour,design excel locat quiet side street 20 famou rambla free throughout breakfast combo includ one orang juic one coffe one sandwich one croissant per person bypillow twenti set histor centr short boquería market liceu theatr cathedr room bypillow twenti fulli soundproof air condit flatscreen free safe room public area total smokefre establish ticket sale excurs provid use inform car bicycl rental tour
BYPILLOW Velázquez 45,"Madrid, Community of Madrid","Double Room
1 full bed
Only 2 rooms left at this price on our site",1213.0,8.6,4362.0,3.0,stars,"Double Room
1 full bed
Free cancellation",1355.0,"BYPILLOW Velázquez 45 is set in Madrid’s elegant Salamanca district. All rooms feature air conditioning, a bathroom with amenities and a flat-screen TV. There is a free Wi-Fi zone.

The guesthouse is just 200 metres from Velazquez and Serrano Metro Stations. It is also within walking distance of Retiro Park, the Puerta de Alcalá and the Plaza de Colon.

Velázquez 45 by Pillow has a 24-hour reception desk, with car rental and luggage storage services. Public parking is also available on-site.

There is a lounge with a TV and free newspapers.  A continental breakfast is served in the café-breakfast room.

BYPILLOW Velázquez 45 is in an ideal location to visit the famous museums of Madrid, such as El Prado, Reina Sofia and Thyssen-Bornemisza.",bypillow velázquez 45 set madrids elegant salamanca district rooms air conditioning amenities flatscreen free zone guesthouse 200 velazquez serrano metro stations also within walking retiro park puerta alcalá plaza colon velázquez 45 pillow 24hour reception car rental luggage storage services public parking also onsite lounge free newspapers continental breakfast served cafébreakfast bypillow velázquez 45 ideal location visit famous museums prado reina sofia thyssenbornemisza,bypillow velázquez 45 set madrid eleg salamanca district room air condit amen flatscreen free zone guesthous 200 velazquez serrano metro station also within walk retiro park puerta alcalá plaza colon velázquez 45 pillow 24hour recept car rental luggag storag servic public park also onsit loung free newspap continent breakfast serv cafébreakfast bypillow velázquez 45 ideal locat visit famou museum prado reina sofia thyssenbornemisza
Barbieri Sol Hostel,"Madrid, Community of Madrid","Standard Twin Room with Shared Bathroom
Multiple bed types
Only 1 room left at this price on our site",707.0,8.5,679.0,,,"Standard Twin Room with Shared Bathroom
Multiple bed types
Only 1 room left at this price on our site",775.0,"Located in the city centre of Madrid and 150 metres from Puerta del Sol, The Barbieri Sol Hostel offers air-conditioned and heated rooms with shared bathroom facilities, and bunk beds in dormitories with private bathrooms,free private lockers and bed linen. It features a roof terrace with tables and chairs, and offers free Wi-Fi.


Guests have free access to the shared lounge area with TV and computers with free printing service and a kitchen equipped with microwave and fridge. There are many bars and restaurants in the immediate area.

A laundry service is offered and you can hire a bicycle or car at the hostel’s tour desk. The property also offers free city tours. There is public parking nearby for an additional charge.

Barbieri Sol Hostel is located 1.3 km away from Reina Sofia Museum, Museo del Prado, Parque del Retiro and La Latina neibourghood with its popular Sunday market.",city centre 150 puerta sol barbieri sol offers airconditioned heated rooms shared facilities bunk beds dormitories bathroomsfree lockers bed linen features roof terrace tables chairs offers free guests free shared lounge area computers free printing kitchen equipped microwave fridge many bars restaurants immediate area laundry offered hire bicycle car hostels tour property also offers free city tours public parking nearby additional charge barbieri sol 13 reina sofia museum museo prado parque retiro latina neibourghood sunday market,citi centr 150 puerta sol barbieri sol offer aircondit heat room share facil bunk bed dormitori bathroomsfre locker bed linen featur roof terrac tabl chair offer free guest free share loung area comput free print kitchen equip microwav fridg mani bar restaur immedi area laundri offer hire bicycl car hostel tour properti also offer free citi tour public park nearbi addit charg barbieri sol 13 reina sofia museum museo prado parqu retiro latina neibourghood sunday market
Barcelona Apartment Gran de Gràcia,Barcelona,"Deluxe Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 53m²
4 beds (1 twin, 1 full, 2 sofa beds)
Free cancellation
No prepayment needed – pay at the property
Only 1 left at this price on our site",1036.0,7.9,289.0,3.0,squares,"Deluxe Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 53m²
4 beds (1 twin, 1 full, 2 sofa beds)
Only 1 left at this price on our site",2720.0,"Situated in the charming Gràcia district, these elegant design apartments offer a balcony and a stylish kitchen with a ceramic hob, dishwasher and washing machine. Fontana Metro Station is just 200 metres away.

The air-conditioned Gran de Gracia apartments feature sleek contemporary décor. Each one has a lounge with a flat-screen TV and 2 sofa beds. The modern bathrooms include a shower.

A variety of supermarkets, cafés and restaurants can be found within a 5-minute walk of the Gran de Gracia apartments. The surrounding streets are full of quirky boutiques and lively bars.

Gaudí’s Casa Vicenç is just 150 metres from the apartments, while Parc Güell is a 20-minute walk away. You can walk to Passeig de Gràcia Boulevard in around 15 minutes.",charming gràcia district elegant design kitchen ceramic hob dishwasher washing machine fontana metro station 200 airconditioned gran gracia sleek contemporary décor one lounge flatscreen 2 sofa beds bathrooms shower variety supermarkets cafés restaurants found within 5minute gran gracia surrounding streets full quirky boutiques lively bars gaudís casa vicenç 150 parc güell 20minute passeig gràcia boulevard around 15,charm gràcia district eleg design kitchen ceram hob dishwash wash machin fontana metro station 200 aircondit gran gracia sleek contemporari décor one loung flatscreen 2 sofa bed bathroom shower varieti supermarket café restaur found within 5minut gran gracia surround street full quirki boutiqu live bar gaudí casa vicenç 150 parc güell 20minut passeig gràcia boulevard around 15
Barcelona Apartment Republica,Barcelona,"Deluxe apartment
4 beds (2 twins, 2 sofa beds)
Free cancellation",854.0,7.4,1157.0,3.0,squares,"Deluxe Apartment (4 Adults)
Entire studio • 1 bathroom • 1 kitchen • 45m²
3 beds (2 twins, 1 sofa bed)
Only 2 left at this price on our site",2351.0,"Located 150 metres from Llacuna Metro Station, Derby Republica offers modern loft-style apartments featuring exposed brick walls. Guests have access to a rooftop pool and sun terrace with views over Barcelona.

The air-conditioned apartments at Derby include a kitchen equipped with a microwave, hob, fridge and dishwasher. There is also a washing machine, and bedding and towels are provided.

The Republica has a concierge service that can help organise activities such as tours and water sports. Guests can also enjoy free entry to the Barcelona Egyptian Museum.

Glories Shopping Centre is a 10-minute walk away from Derby Republica. The beach and Poble Nou Park are also just 15 minutes’ walk away.",150 llacuna metro station derby republica offers loftstyle featuring exposed brick walls guests rooftop pool sun terrace views airconditioned derby kitchen equipped microwave hob fridge dishwasher also washing machine bedding towels provided republica concierge help organise activities tours water sports guests also enjoy free entry egyptian museum glories shopping centre 10minute derby republica beach poble nou park also 15,150 llacuna metro station derbi republica offer loftstyl featur expos brick wall guest rooftop pool sun terrac view aircondit derbi kitchen equip microwav hob fridg dishwash also wash machin bed towel provid republica concierg help organis activ tour water sport guest also enjoy free entri egyptian museum glori shop centr 10minut derbi republica beach pobl nou park also 15
Barcelona Apartment Val,Barcelona,"Standard One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 47m²
2 beds (1 full, 1 sofa bed)
Free cancellation
No prepayment needed – pay at the property
Only 4 left at this price on our site",1074.0,8.5,588.0,4.0,squares,"Superior One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 47m²
1 full bed
Only 1 left at this price on our site",2886.0,"These modern décor apartments are located in Barcelona city centre, next to Passeig de Gracia Avenue and within walking distance of Gaudi’s most famous Modernist buildings.

Barcelona Apartment Val features air-conditioned 1, 2 or 3 bedroom apartments. Each one offers plenty of natural light and views of the city.

Apartments also include a comfortable seating area with sofa and flat-screen TV, a fully equipped kitchen and a private bathroom.

Guests have free access to an outdoor pool located in Paseo de Gracia Boulevard, 300 metres away.

Set in Barcelona’s main shopping district, the apartments are well connected by public transport to all main tourist attractions in Barcelona. Apartments are situated 10 minutes’ walk from both the Plaza Catalunya Square and the Ramblas.",décor city centre next passeig gracia avenue within walking gaudis famous modernist buildings val features airconditioned 1 2 3 bedroom one offers plenty natural light views city also comfortable seating area sofa flatscreen fully equipped kitchen guests free outdoor pool paseo gracia boulevard 300 set barcelonas main shopping district well connected public transport main tourist attractions 10 plaza catalunya square ramblas,décor citi centr next passeig gracia avenu within walk gaudi famou modernist build val featur aircondit 1 2 3 bedroom one offer plenti natur light view citi also comfort seat area sofa flatscreen fulli equip kitchen guest free outdoor pool paseo gracia boulevard 300 set barcelona main shop district well connect public transport main tourist attract 10 plaza catalunya squar rambla
Barcelona Apartment Villarroel,Barcelona,"Standard Apartment with Terrace
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 40m²
3 beds (2 twins, 1 sofa bed)
Free cancellation",983.0,7.9,963.0,4.0,squares,"Deluxe Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 70m²
5 beds (4 twins, 1 sofa bed)
Only 3 left at this price on our site",3062.0,"Located in Eixample District, close to Hospital Clínic metro station and only 15 minutes’ walk from Barcelona’s historic town, these modern décor apartments offer free Wi-Fi throughout.

Barcelona Apartment Villaroel features deluxe and executive 2-bedroom apartments. Each of them has a comfortable living-dining area with sofa and flat-screen TV, a private bathroom and well-equipped kitchen.

Numerous bars and restaurants as well as supermarkets can be found nearby. Barcelona main shopping district is just 10 minutes’ walk away.

You can reach Barcelona Sants AVE Train Station in less than 15 minutes' walk away or a short metro ride from Hospital Clínic metro station.

When booking more than 2 apartments, different policies and additional supplements may apply.",eixample district close hospital clínic metro station 15 barcelonas historic town décor free throughout villaroel features deluxe executive 2bedroom comfortable livingdining area sofa flatscreen wellequipped kitchen numerous bars restaurants well supermarkets found nearby main shopping district 10 reach sants ave train station less 15 short metro ride hospital clínic metro station booking 2 different policies additional supplements may apply,eixampl district close hospit clínic metro station 15 barcelona histor town décor free throughout villaroel featur delux execut 2bedroom comfort livingdin area sofa flatscreen wellequip kitchen numer bar restaur well supermarket found nearbi main shop district 10 reach sant ave train station less 15 short metro ride hospit clínic metro station book 2 differ polici addit supplement may appli
Barcelona Centro city,Barcelona,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 14m²
1 full bed",2427.0,,,3.0,squares,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 14m²
1 full bed",2427.0,"Located in Barcelona, near Palau de la Musica Catalana, Cathedral of Barcelona and Passeig de Gracia, Barcelona Centro city features free WiFi. The property is close to Plaça Reial, Picasso Museum and Portal de l'Angel. The property is 2 km from Somorrostro Beach, and within 500 metres of the city centre.

This apartment is equipped with 1 bedroom and 1 bathroom with a bidet, a bath and free toiletries. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Tivoli Theatre, Santa Maria del Mar and Plaça Catalunya. Barcelona El Prat Airport is 13 km away.",near palau musica catalana cathedral passeig gracia centro city features free property close plaça reial picasso museum portal langel property 2 somorrostro beach within 500 city centre equipped 1 bedroom 1 bidet bath free toiletries towels bed linen provided nonsmoking points interest near tivoli theatre santa maria mar plaça catalunya prat airport 13,near palau musica catalana cathedr passeig gracia centro citi featur free properti close plaça reial picasso museum portal langel properti 2 somorrostro beach within 500 citi centr equip 1 bedroom 1 bidet bath free toiletri towel bed linen provid nonsmok point interest near tivoli theatr santa maria mar plaça catalunya prat airport 13
Barcelona City Apartment,Barcelona,"Studio Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 14m²
1 full bed
Only 1 left at this price on our site",836.0,7.0,764.0,3.0,squares,"Standard Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 24m²
3 beds (2 twins, 1 full)
Only 5 left at this price on our site",1860.0,"These stylish apartments close to the Torre Agbar and Glòries Metro station have free Wi-Fi and fully equipped kitchens.

The Barcelona City Apartments offer flexible accommodation for up to 4 people. They have TV and DVD player, and the kitchens have microwave, fridge, hob and washing machine. The apartments also have an iron, towels, and bed linen.

Barcelona City Apartment can be found close to Plaça de les Glòries, a transport hub in Barcelona. You have easy access to several Metro, bus and tram routes. You are only 10 minutes’ walk from the beach.",close torre agbar glòries metro station free fully equipped kitchens city flexible 4 people dvd player kitchens microwave fridge hob washing machine also iron towels bed linen city found close plaça glòries transport hub easy several metro bus tram routes 10 beach,close torr agbar glòri metro station free fulli equip kitchen citi flexibl 4 peopl dvd player kitchen microwav fridg hob wash machin also iron towel bed linen citi found close plaça glòri transport hub easi sever metro bu tram rout 10 beach
Barcelona City North Hostal,Barcelona,"Double or Twin Room with City View
Multiple bed types
Only 1 room left at this price on our site",816.0,7.2,1066.0,2.0,stars,"Double or Twin Room with City View
Multiple bed types
Only 5 rooms left at this price on our site",1711.0,"The Barcelona City North Hostal offers value-for-money accommodation and free Wi-Fi. It is in the quiet Sarrià-Sant Gervasi area of Barcelona, with good access by car to the airport.

The rooms at the Barcelona City North are clean, heated and air conditioned. All come with a private bathroom, a TV and a kettle.

Guests at Barcelona City North Hostal have access to a common area with a microwave and fridge.

The hostel is within walking distance of the popular Gràcia neighbourhood and the Modernist buildings of the Eixample.

Nearby Lesseps Metro Station offers easy access to Vallcarca and the Parc Güell. Plaça Catalunya is only 3 stops away.",city north hostal offers valueformoney free quiet sarriàsant gervasi area good car airport rooms city north clean heated air conditioned come kettle guests city north hostal common area microwave fridge within walking gràcia neighbourhood modernist buildings eixample nearby lesseps metro station offers easy vallcarca parc güell plaça catalunya 3 stops,citi north hostal offer valueformoney free quiet sarriàs gervasi area good car airport room citi north clean heat air condit come kettl guest citi north hostal common area microwav fridg within walk gràcia neighbourhood modernist build eixampl nearbi lessep metro station offer easi vallcarca parc güell plaça catalunya 3 stop
Barcelona City Rooms,Barcelona,"Superior Double or Twin Room
3 beds (2 twins, 1 full)
Only 3 rooms left at this price on our site",842.0,6.8,933.0,2.0,stars,"Standard Double or Twin Room
2 beds (1 twin, 1 full)
Only 1 room left at this price on our site",1826.0,"Barcelona City Rooms is located in Barcelona’s Eixample district, just 5 minutes’ walk from Gaudí’s iconic Sagrada Família.

The rooms at Barcelona City Rooms feature tiled floors. Each one comes with a flat-screen TV and a private bathroom. Bed linen and towels are included.

Barcelona City Rooms is located opposite a supermarket.

The spectacular Hospital Sant Pau is a 10-minute walk away. Sagrada Família Metro Station connects you with the city centre in 5 minutes.",city rooms barcelonas eixample district 5 gaudís iconic sagrada família rooms city rooms tiled floors one comes flatscreen bed linen towels included city rooms opposite supermarket spectacular hospital sant pau 10minute sagrada família metro station connects city centre 5,citi room barcelona eixampl district 5 gaudí icon sagrada família room citi room tile floor one come flatscreen bed linen towel includ citi room opposit supermarket spectacular hospit sant pau 10minut sagrada família metro station connect citi centr 5
